Subject	Spectral Response Measurement
Format	F0001
----- Setup Infos ----------------------------------------------------
System Name	Abet Technologies not set
System Version	0.0
System Location	unknown
Software Version	Photor 3.1.49.0 (photor)
----- Meas Info ------------------------------------------------------
Cell id	F4M_sub5_cell15_cut_blue bias (80)_0.75V
Cell sub	
Filename	
Operator	unknown
Date Time	2024-03-13 15:32
Cell Size L x W (cm2)	30.1760
Cell Op.Temp.(C)	23.1
Reference device(s)	Si-200-1100nm-S120VC-SP8 210204106-mod,Ge-700-1800nm-S122C-SP1 210202220_mod
Reference time	2024-03-13 15:13
----- Calculations ---------------------------------------------------
Chopper Frequency	183.00253
Jsc(mA/cm2), AM0 (ASTM-G173-3)	17.5969
Jsc(mA/cm2), AM15G Tilt (ASTM-G173-3)	14.9220
Jsc(mA/cm2), AM15G Direct (ASTM-G173-3)	13.8439
Jsc(mA/cm2), 	0.0000
Remark1	
Remark2	
Remark3	
----- Data -----------------------------------------------------------
Wl	SR	EQE	Photocurrent
nm	A/W	-	A
500.0	0.0488	0.1209	0.0000
510.0	0.0509	0.1237	0.0000
520.0	0.0537	0.1280	0.0000
530.0	0.0551	0.1289	0.0000
540.0	0.0575	0.1320	0.0000
550.0	0.0595	0.1340	0.0000
560.0	0.0619	0.1371	0.0000
570.0	0.0638	0.1388	0.0000
580.0	0.0650	0.1390	0.0000
590.0	0.0685	0.1440	0.0000
600.0	0.0714	0.1476	0.0000
610.0	0.0746	0.1515	0.0000
620.0	0.0780	0.1560	0.0000
630.0	0.0815	0.1605	0.0000
640.0	0.0859	0.1664	0.0000
650.0	0.0905	0.1727	0.0000
660.0	0.0942	0.1770	0.0000
670.0	0.0989	0.1831	0.0000
680.0	0.1035	0.1886	0.0000
690.0	0.1089	0.1958	0.0000
700.0	0.1142	0.2022	0.0000
710.0	0.1185	0.2069	0.0000
720.0	0.1222	0.2105	0.0000
730.0	0.1294	0.2198	0.0000
740.0	0.1316	0.2205	0.0000
750.0	0.1400	0.2314	0.0000
760.0	0.1515	0.2472	0.0000
770.0	0.1975	0.3181	0.0000
780.0	0.2868	0.4558	0.0000
790.0	0.3727	0.5849	0.0000
800.0	0.4171	0.6464	0.0000
810.0	0.4396	0.6729	0.0000
820.0	0.4491	0.6791	0.0000
830.0	0.4533	0.6771	0.0000
840.0	0.4612	0.6807	0.0000
850.0	0.4705	0.6863	0.0000
860.0	0.4755	0.6855	0.0000
870.0	0.4839	0.6896	0.0000
880.0	0.4875	0.6868	0.0000
890.0	0.4974	0.6929	0.0000
900.0	0.4996	0.6883	0.0000
910.0	0.5033	0.6857	0.0000
920.0	0.5118	0.6897	0.0000
930.0	0.5164	0.6885	0.0000
940.0	0.5205	0.6866	0.0000
950.0	0.5254	0.6858	0.0000
960.0	0.5305	0.6852	0.0000
970.0	0.5353	0.6843	0.0000
980.0	0.5374	0.6799	0.0000
990.0	0.5387	0.6747	0.0000
1000.0	0.5372	0.6661	0.0000
1010.0	0.5324	0.6536	0.0000
1020.0	0.5249	0.6380	0.0000
1030.0	0.5100	0.6139	0.0000
1040.0	0.4915	0.5860	0.0000
1050.0	0.4631	0.5469	0.0000
1060.0	0.4305	0.5035	0.0000
1070.0	0.3982	0.4614	0.0000
1080.0	0.3641	0.4180	0.0000
1090.0	0.3330	0.3788	0.0000
1100.0	0.2963	0.3339	0.0000
1110.0	0.2574	0.2875	0.0000
1120.0	0.2185	0.2419	0.0000
1130.0	0.1785	0.1958	0.0000
1140.0	0.1411	0.1535	0.0000
1150.0	0.1017	0.1097	0.0000
1160.0	0.0677	0.0724	0.0000
1170.0	0.0384	0.0407	0.0000
1180.0	0.0153	0.0161	0.0000
1190.0	0.0066	0.0069	0.0000
1200.0	0.0033	0.0034	0.0000
1210.0	0.0029	0.0030	0.0000
1220.0	0.0022	0.0022	0.0000
1230.0	0.0017	0.0017	0.0000
1240.0	0.0014	0.0014	0.0000
1250.0	0.0004	0.0004	0.0000
----- EOF ------------------------------------------------------------
